# Maxima des Schwingfalls
# Zeit Spannung
00.000018400000	200.00000
00.000056200000 186.00000
00.000092800000 176.00000
00.000130800000 164.00000
00.000169000000 156.00000
00.000206800000 150.00000
00.000245600000 142.00000
00.000283800000 136.00000
00.000321600000 132.00000
00.000357000000 126.00000
00.000396600000 124.00000
00.000434400000 122.00000
00.000036600000 14.00000
00.000074600000 26.00000
00.000111800000 38.00000
00.000149800000 46.00000
00.000188600000 54.00000
00.000225600000 60.00000
00.000263800000 66.00000
00.000302200000 70.00000
00.000339800000 74.00000
00.000377600000 78.00000
00.000416600000 80.00000
00.000453600000 82.00000
